genre,title,rating,num_ratings
Adventure,Lawrence of Arabia (1962),4.30,45
Adventure,Monty Python and the Holy Grail (1975),4.16,136
Adventure,Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.16,87
Adventure,"Bridge on the River Kwai, The (1957)",4.12,45
Adventure,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.11,198
Adventure,Toy Story 3 (2010),4.11,55
Adventure,Wallace & Gromit: The Best of Aardman Animation (1996),4.09,27
Adventure,"Grand Day Out with Wallace and Gromit, A (1989)",4.09,28
Adventure,Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.08,40
Adventure,Fantastic Mr. Fox (2009),4.08,18
Comedy,His Girl Friday (1940),4.39,14
Comedy,It Happened One Night (1934),4.32,14
Comedy,Living in Oblivion (1995),4.31,13
Comedy,"Philadelphia Story, The (1940)",4.31,29
Comedy,Louis C.K.: Live at the Beacon Theater (2011),4.30,10
Comedy,Harold and Maude (1971),4.29,26
Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.27,97
Comedy,Wild Tales (2014),4.25,10
Comedy,Pulp Fiction (1994),4.20,307
Comedy,Top Secret! (1984),4.20,10
Action,All Quiet on the Western Front (1930),4.35,10
Action,Once Upon a Time in the West (C'era una volta il West) (1968),4.31,18
Action,Elite Squad (Tropa de Elite) (2007),4.30,10
Action,Logan (2017),4.28,25
Action,Fight Club (1999),4.27,218
Action,"Outlaw Josey Wales, The (1976)",4.25,18
Action,"Dark Knight, The (2008)",4.24,149
Action,Star Wars: Episode IV - A New Hope (1977),4.23,251
Action,"Princess Bride, The (1987)",4.23,142
Action,Yojimbo (1961),4.23,13
Drama,Secrets & Lies (1996),4.59,11
Drama,Guess Who's Coming to Dinner (1967),4.55,11
Drama,Paths of Glory (1957),4.54,12
Drama,"Streetcar Named Desire, A (1951)",4.47,20
Drama,"Celebration, The (Festen) (1998)",4.46,12
Drama,Ran (1985),4.43,15
Drama,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.33,27
Drama,"Hustler, The (1961)",4.33,18
Drama,In the Name of the Father (1993),4.30,25
Drama,"Hunt, The (Jagten) (2012)",4.30,10
Crime,"Shawshank Redemption, The (1994)",4.43,317
Crime,Double Indemnity (1944),4.32,17
Crime,"Godfather, The (1972)",4.29,192
Crime,"Godfather: Part II, The (1974)",4.26,129
Crime,Touch of Evil (1958),4.26,17
Crime,Goodfellas (1990),4.25,126
Crime,"Manchurian Candidate, The (1962)",4.25,30
Crime,"Departed, The (2006)",4.25,107
Crime,"Usual Suspects, The (1995)",4.24,204
Crime,To Catch a Thief (1955),4.22,23
Mystery,Rear Window (1954),4.26,84
Mystery,Memento (2000),4.12,159
Mystery,Old Boy (2003),4.09,39
Mystery,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.98,177
Mystery,Seven (a.k.a. Se7en) (1995),3.98,203
Mystery,District 9 (2009),3.78,65
Mystery,Dead Again (1991),3.77,13
Mystery,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",3.62,17
Mystery,Super 8 (2011),3.60,21
Mystery,Just Cause (1995),3.50,14
Children,It's a Wonderful Life (1946),4.03,58
Children,"Christmas Story, A (1983)",3.97,55
Children,"Little Princess, A (1995)",3.90,21
Children,Mary Poppins (1964),3.89,71
Children,Willy Wonka & the Chocolate Factory (1971),3.87,119
Children,E.T. the Extra-Terrestrial (1982),3.77,122
Children,"Secret of Roan Inish, The (1994)",3.75,16
Children,Hugo (2011),3.75,18
